mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,41,92,.446,14,31,.452,10,14,.714,7,28,35,22,12,4,14,21,106,,,.540,.522,.337,.152,14.6,90.3,44.3,53.7,11.7,10.3,12.5,100.0,103.3,122.8,,Away,OKC,240,44,75,.587,17,36,.472,21,27,.778,3,41,44,31,10,10,19,17,126,,,.725,.700,.480,.360,9.7,85.4,55.7,70.5,9.7,16.4,17.9,100.0,122.8,103.3,,Home,CHO
240,35,88,.398,8,29,.276,21,25,.840,11,32,43,18,6,5,11,16,99,,,.500,.443,.330,.284,22.4,74.4,46.7,51.4,6.2,8.5,10.0,100.0,102.3,118.8,,Home,IND,240,45,92,.489,11,33,.333,14,18,.778,11,38,49,34,5,4,11,15,115,,,.575,.549,.359,.196,25.6,77.6,53.3,75.6,5.2,6.8,9.9,100.0,118.8,102.3,,Away,CHO
240,47,96,.490,13,32,.406,11,14,.786,5,29,34,26,9,1,9,16,118,,,.578,.557,.333,.146,10.9,80.6,41.5,55.3,8.6,1.8,8.1,100.0,112.2,117.9,,Home,LAL,240,50,89,.562,8,34,.235,16,19,.842,7,41,48,36,5,6,17,12,124,,,.637,.607,.382,.213,19.4,89.1,58.5,72.0,4.8,9.4,14.9,100.0,117.9,112.2,,Away,CHO
240,44,90,.489,16,39,.410,13,20,.650,9,29,38,27,6,2,10,20,117,,,.592,.578,.433,.222,20.9,80.6,48.1,61.4,6.3,4.2,9.2,100.0,122.3,128.5,,Home,TOR,240,43,81,.531,17,33,.515,20,24,.833,7,34,41,30,5,3,11,17,123,,,.672,.636,.407,.296,19.4,79.1,51.9,69.8,5.2,5.9,10.7,100.0,128.5,122.3,,Away,CHO
240,27,79,.342,7,29,.241,23,29,.793,8,40,48,17,2,2,15,20,84,,,.458,.386,.367,.367,15.7,80.0,47.5,63.0,2.0,4.8,14.1,100.0,85.7,122.4,,Away,MIL,240,41,94,.436,18,52,.346,20,24,.833,10,43,53,26,8,5,7,24,120,,,.574,.532,.553,.255,20.0,84.3,52.5,63.4,8.2,10.0,6.3,100.0,122.4,85.7,,Home,CHO
240,47,82,.573,16,31,.516,5,7,.714,5,38,43,30,8,4,19,9,115,,,.676,.671,.378,.085,17.9,80.9,57.3,63.8,8.2,8.3,18.3,100.0,118.4,109.1,,Home,MEM,240,43,92,.467,16,44,.364,4,8,.500,9,23,32,33,12,5,12,13,106,,,.555,.554,.478,.087,19.1,82.1,42.7,76.7,12.4,9.8,11.2,100.0,109.1,118.4,,Away,CHO
240,44,82,.537,10,34,.294,13,16,.813,5,41,46,27,5,3,19,17,111,,,.623,.598,.415,.195,14.3,95.3,59.0,61.4,5.0,5.7,17.6,100.0,111.0,102.0,,Home,IND,240,42,83,.506,8,30,.267,10,16,.625,2,30,32,31,9,3,11,11,102,,,.566,.554,.361,.193,4.7,85.7,41.0,73.8,9.0,6.3,10.9,100.0,102.0,111.0,,Away,CHO
240,44,89,.494,15,37,.405,19,20,.950,12,34,46,27,7,4,13,18,122,,,.624,.579,.416,.225,28.6,69.4,50.5,61.4,7.3,7.8,11.7,100.0,127.2,103.2,,Home,ATL,240,36,89,.404,9,38,.237,18,20,.900,15,30,45,23,5,6,16,20,99,,,.506,.455,.427,.225,30.6,71.4,49.5,63.9,5.2,11.5,14.1,100.0,103.2,127.2,,Away,CHO
240,40,92,.435,20,42,.476,15,22,.682,12,30,42,28,11,3,10,23,115,,,.565,.543,.457,.239,23.5,66.7,43.8,70.0,11.2,6.4,9.0,100.0,117.3,109.2,,Away,UTA,240,37,86,.430,9,39,.231,24,27,.889,15,39,54,26,3,2,19,21,107,,,.547,.483,.453,.314,33.3,76.5,56.3,70.3,3.1,4.0,16.3,100.0,109.2,117.3,,Home,CHO
240,32,88,.364,11,39,.282,9,11,.818,13,30,43,21,13,6,19,15,84,,,.452,.426,.443,.125,24.5,69.8,44.8,65.6,13.3,12.8,17.0,100.0,86.1,99.4,,Away,GSW,240,38,89,.427,13,42,.310,8,10,.800,13,40,53,28,7,7,22,15,97,,,.519,.500,.472,.112,30.2,75.5,55.2,73.7,7.2,14.3,19.1,100.0,99.4,86.1,,Home,CHO
