mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,51,89,.573,13,30,.433,16,18,.889,7,31,38,24,8,5,20,17,131,,,.676,.646,.337,.202,20.6,59.6,44.2,47.1,7.5,6.0,17.1,100.0,122.5,124.4,,Away,IND,240,58,109,.532,8,26,.308,9,15,.600,21,27,48,34,8,3,13,17,133,,,.575,.569,.239,.138,40.4,79.4,55.8,58.6,7.5,5.1,10.1,100.0,124.4,122.5,,Home,PHO
240,41,73,.562,4,14,.286,12,21,.571,6,33,39,19,4,5,23,19,98,,,.596,.589,.192,.288,17.1,75.0,49.4,46.3,4.1,8.9,21.9,100.0,99.3,114.6,,Away,ORL,240,41,92,.446,12,36,.333,19,26,.731,11,29,40,30,12,7,10,21,113,,,.546,.511,.391,.283,25.0,82.9,50.6,73.2,12.2,11.9,8.8,100.0,114.6,99.3,,Home,PHO
240,46,94,.489,14,40,.350,12,17,.706,10,37,47,30,8,8,8,16,118,,,.581,.564,.426,.181,21.7,82.2,51.6,65.2,8.2,16.7,7.3,100.0,121.1,107.7,,Away,MIA,240,33,84,.393,14,36,.389,25,25,1.000,8,36,44,20,5,5,13,18,105,,,.553,.476,.429,.298,17.8,78.3,48.4,60.6,5.1,9.3,12.0,100.0,107.7,121.1,,Home,PHO
240,49,79,.620,14,28,.500,24,32,.750,9,33,42,35,5,6,16,12,136,,,.731,.709,.354,.405,32.1,80.5,60.9,71.4,5.1,10.9,14.7,100.0,137.5,121.3,,Away,BRK,240,47,94,.500,16,39,.410,10,13,.769,8,19,27,28,11,1,11,24,120,,,.602,.585,.415,.138,19.5,67.9,39.1,59.6,11.1,2.0,9.9,100.0,121.3,137.5,,Home,PHO
240,47,88,.534,14,37,.378,12,14,.857,8,30,38,31,6,5,17,17,120,,,.637,.614,.420,.159,20.5,71.4,46.9,66.0,6.0,9.8,15.3,100.0,120.2,129.2,,Away,ATL,240,49,95,.516,17,44,.386,14,18,.778,12,31,43,29,7,4,10,13,129,,,.627,.605,.463,.189,28.6,79.5,53.1,59.2,7.0,7.8,8.9,100.0,129.2,120.2,,Home,PHO
240,54,88,.614,11,25,.440,21,26,.808,9,33,42,33,13,6,18,12,140,,,.704,.676,.284,.295,29.0,71.7,54.5,61.1,12.3,9.4,15.3,100.0,132.2,105.7,,Away,WAS,240,47,96,.490,7,32,.219,11,17,.647,13,22,35,32,11,4,18,19,112,,,.541,.526,.333,.177,28.3,71.0,45.5,68.1,10.4,6.3,14.8,100.0,105.7,132.2,,Home,PHO
240,44,87,.506,8,28,.286,18,27,.667,8,41,49,17,8,5,14,19,114,,,.576,.552,.322,.310,19.0,80.4,52.7,38.6,7.8,10.0,12.4,100.0,111.0,103.2,,Home,MIL,240,39,90,.433,13,40,.325,15,25,.600,10,34,44,23,10,4,13,21,106,,,.525,.506,.444,.278,19.6,81.0,47.3,59.0,9.7,6.8,11.4,100.0,103.2,111.0,,Away,PHO
240,52,88,.591,14,29,.483,11,16,.688,5,32,37,37,10,7,12,22,129,,,.679,.670,.330,.182,13.2,62.7,41.6,71.2,9.9,11.9,11.2,100.0,128.0,114.1,,Home,UTA,240,41,94,.436,12,35,.343,21,31,.677,19,33,52,28,7,7,15,14,115,,,.534,.500,.372,.330,37.3,86.8,58.4,68.3,6.9,11.9,12.2,100.0,114.1,128.0,,Away,PHO
240,43,94,.457,11,34,.324,15,16,.938,9,33,42,28,9,8,14,13,112,,,.554,.516,.362,.170,18.8,71.7,44.7,65.1,8.7,13.3,12.2,100.0,108.4,109.4,,Away,GSW,240,45,101,.446,17,41,.415,6,11,.545,13,39,52,33,6,2,14,20,113,,,.534,.530,.406,.109,28.3,81.3,55.3,73.3,5.8,3.3,11.7,100.0,109.4,108.4,,Home,PHO
240,44,85,.518,13,31,.419,29,36,.806,7,32,39,29,11,6,12,16,130,,,.645,.594,.365,.424,16.7,68.1,43.8,65.9,10.7,9.4,10.6,100.0,126.2,121.4,,Home,SAC,240,49,95,.516,9,31,.290,18,24,.750,15,35,50,27,8,6,13,27,125,,,.592,.563,.326,.253,31.9,83.3,56.2,55.1,7.8,11.1,11.0,100.0,121.4,126.2,,Away,PHO
