Player,Year,Team,Stat,Value-Stat
Charles Barkley,1994,PHO,ORB,3.0
Karl Malone,1994,UTA,ORB,2.9
Hakeem Olajuwon,1994,HOU,ORB,2.9
Larry Johnson,1994,CHH,ORB,2.8
Patrick Ewing,1994,NYK,ORB,2.8
David Robinson,1994,SAS,FT,8.7
Karl Malone,1994,UTA,FT,6.2
Derrick Coleman,1994,NJN,FT,5.7
Kevin Johnson,1994,PHO,FT,5.7
Patrick Ewing,1994,NYK,FT,5.6
Mitch Richmond,1994,SAC,FT,5.5
Brad Daugherty,1994,CLE,FT,5.1
Reggie Miller,1994,IND,FT,5.1
Hakeem Olajuwon,1994,HOU,FT,4.9
Charles Barkley,1994,PHO,FT,4.9
Micheal Williams,1994,MIN,FT,4.7
Shawn Kemp,1994,SEA,FT,4.6
Don MacLean,1994,WSB,FT,4.4
Latrell Sprewell,1994,GSW,FT,4.3
Ron Harper,1994,LAC,FT,4.0
Nate McMillan,1994,SEA,STL,3.0
Scottie Pippen,1994,CHI,STL,2.9
Mookie Blaylock,1994,ATL,STL,2.6
John Stockton,1994,UTA,STL,2.4
Latrell Sprewell,1994,GSW,STL,2.2
Fat Lever,1994,DAL,STL,2.0
Kevin Johnson,1994,PHO,STL,1.9
Ron Harper,1994,LAC,STL,1.9
Shawn Kemp,1994,SEA,STL,1.8
Nick Anderson,1994,ORL,STL,1.7
Micheal Williams,1994,MIN,STL,1.7
Chris Mullin,1994,GSW,STL,1.7
David Robinson,1994,SAS,STL,1.7
Craig Ehlo,1994,ATL,STL,1.7
Hakeem Olajuwon,1994,HOU,STL,1.6
Hakeem Olajuwon,1994,HOU,BLK,3.7
David Robinson,1994,SAS,BLK,3.3
Patrick Ewing,1994,NYK,BLK,2.7
Shawn Kemp,1994,SEA,BLK,2.1
Derrick Coleman,1994,NJN,BLK,1.8
Hot Rod Williams,1994,CLE,BLK,1.7
Jon Koncak,1994,ATL,BLK,1.5
Karl Malone,1994,UTA,BLK,1.5
Vlade Divac,1994,LAL,BLK,1.4
Robert Parish,1994,BOS,BLK,1.3
Mark West,1994,PHO,BLK,1.3
P.J. Brown,1994,NJN,BLK,1.2
Horace Grant,1994,CHI,BLK,1.2
Rik Smits,1994,IND,BLK,1.1
Bison Dele,1994,DEN,BLK,1.1
Dan Majerle,1994,PHO,3P,2.4
Dell Curry,1994,CHH,3P,1.9
Joe Dumars,1994,DET,3P,1.8
Latrell Sprewell,1994,GSW,3P,1.7
Dana Barros,1994,PHI,3P,1.7
Mark Price,1994,CLE,3P,1.6
Mitch Richmond,1994,SAC,3P,1.6
Glen Rice,1994,MIA,3P,1.6
Reggie Miller,1994,IND,3P,1.6
Mookie Blaylock,1994,ATL,3P,1.4
Terry Porter,1994,POR,3P,1.4
Chuck Person,1994,MIN,3P,1.3
Nick Anderson,1994,ORL,3P,1.2
Danny Ainge,1994,PHO,3P,1.2
Chris Morris,1994,NJN,3P,1.1
Anthony Mason,1995,NYK,PTS,9.9
Antoine Carr,1995,UTA,PTS,9.6
Lucious Harris,1995,DAL,PTS,9.5
Sedale Threatt,1995,LAL,PTS,9.5
Šarūnas Marčiulionis,1995,SEA,PTS,9.3
Buck Williams,1995,POR,PTS,9.2
Harvey Grant,1995,POR,PTS,9.1
Rick Fox,1995,BOS,PTS,8.8
Rafael Addison,1995,DET,PTS,8.3
Matt Geiger,1995,MIA,PTS,8.3
P.J. Brown,1995,NJN,PTS,8.1
Jerome Kersey,1995,POR,PTS,8.1
Will Perdue,1995,CHI,PTS,8.0
Bison Dele,1995,DEN,PTS,7.9
Mitchell Butler,1995,WSB,PTS,7.9
Pooh Richardson,1995,LAC,AST,7.9
Mookie Blaylock,1995,ATL,AST,7.7
Dana Barros,1995,PHI,AST,7.5
Scott Skiles,1995,WSB,AST,7.3
Joe Dumars,1995,DET,AST,5.5
Nate McMillan,1995,SEA,AST,5.3
Scottie Pippen,1995,CHI,AST,5.2
Grant Hill,1995,DET,AST,5.0
Keith Jennings,1995,GSW,AST,4.7
Larry Johnson,1995,CHH,AST,4.6
Winston Garland,1995,MIN,AST,4.4
Sedale Threatt,1995,LAL,AST,4.2
Johnny Dawkins,1995,DET,AST,4.1
Charles Barkley,1995,PHO,AST,4.1
Dan Majerle,1995,PHO,AST,4.1
Patrick Ewing,1995,NYK,DRB,9.0
Karl Malone,1995,UTA,DRB,8.7
Hakeem Olajuwon,1995,HOU,DRB,8.4
Charles Barkley,1995,PHO,DRB,8.1
David Robinson,1995,SAS,DRB,7.9
Derrick Coleman,1995,NJN,DRB,7.6
Vlade Divac,1995,LAL,DRB,7.1
Shawn Kemp,1995,SEA,DRB,7.0
Horace Grant,1995,ORL,DRB,6.6
Dino Radja,1995,BOS,DRB,6.4
Popeye Jones,1995,DAL,DRB,6.4
Anthony Mason,1995,NYK,DRB,6.1
Scottie Pippen,1995,CHI,DRB,5.9
Charles Oakley,1995,NYK,DRB,5.8
Roy Tarpley,1995,DAL,DRB,5.6
Popeye Jones,1995,DAL,ORB,4.1
Chris Dudley,1995,POR,ORB,4.0
Shawn Kemp,1995,SEA,ORB,3.9
Vlade Divac,1995,LAL,ORB,3.3
Charles Oakley,1995,NYK,ORB,3.1
Buck Williams,1995,POR,ORB,3.1
Derrick Coleman,1995,NJN,ORB,3.0
Charles Barkley,1995,PHO,ORB,3.0
Horace Grant,1995,ORL,ORB,3.0
David Robinson,1995,SAS,ORB,2.9
Will Perdue,1995,CHI,ORB,2.7
Roy Tarpley,1995,DAL,ORB,2.6
Brian Grant,1995,SAC,ORB,2.6
Rik Smits,1995,IND,ORB,2.5
Michael Cage,1995,CLE,ORB,2.5
David Robinson,1995,SAS,FT,8.1
Derrick Coleman,1995,NJN,FT,6.7
Karl Malone,1995,UTA,FT,6.3
Hakeem Olajuwon,1995,HOU,FT,5.6
Charles Barkley,1995,PHO,FT,5.6
Grant Hill,1995,DET,FT,5.3
Patrick Ewing,1995,NYK,FT,5.3
Shawn Kemp,1995,SEA,FT,5.3
Detlef Schrempf,1995,SEA,FT,5.3
Latrell Sprewell,1995,GSW,FT,5.1
Glenn Robinson,1995,MIL,FT,5.0
Reggie Miller,1995,IND,FT,4.7
Mitch Richmond,1995,SAC,FT,4.6
Willie Burton,1995,PHI,FT,4.2
Dana Barros,1995,PHI,FT,4.2
Scottie Pippen,1995,CHI,STL,2.9
Mookie Blaylock,1995,ATL,STL,2.5
John Stockton,1995,UTA,STL,2.4
Nate McMillan,1995,SEA,STL,2.1
Hakeem Olajuwon,1995,HOU,STL,1.8
Dana Barros,1995,PHI,STL,1.8
Grant Hill,1995,DET,STL,1.8
David Robinson,1995,SAS,STL,1.7
Karl Malone,1995,UTA,STL,1.6
Charles Barkley,1995,PHO,STL,1.6
Nick Anderson,1995,ORL,STL,1.6
Latrell Sprewell,1995,GSW,STL,1.6
Pooh Richardson,1995,LAC,STL,1.6
Hersey Hawkins,1995,CHH,STL,1.5
Derrick McKey,1995,IND,STL,1.5
Hakeem Olajuwon,1995,HOU,BLK,3.4
David Robinson,1995,SAS,BLK,3.2
Vlade Divac,1995,LAL,BLK,2.2
Patrick Ewing,1995,NYK,BLK,2.0
Gheorghe Mureșan,1995,WSB,BLK,1.7
P.J. Brown,1995,NJN,BLK,1.7
Derrick Coleman,1995,NJN,BLK,1.7
Chris Dudley,1995,POR,BLK,1.5
Shawn Kemp,1995,SEA,BLK,1.5
Brian Grant,1995,SAC,BLK,1.5
Mark West,1995,DET,BLK,1.5
Duane Causwell,1995,SAC,BLK,1.4
Hot Rod Williams,1995,CLE,BLK,1.4
Dino Radja,1995,BOS,BLK,1.3
Sam Bowie,1995,LAL,BLK,1.2
Mookie Blaylock,1995,ATL,3P,2.5
Dana Barros,1995,PHI,3P,2.4
Nick Anderson,1995,ORL,3P,2.4
Reggie Miller,1995,IND,3P,2.4
Dan Majerle,1995,PHO,3P,2.4
Glen Rice,1995,MIA,3P,2.3
Dell Curry,1995,CHH,3P,2.2
Chuck Person,1995,SAS,3P,2.1
Allan Houston,1995,DET,3P,2.1
Willie Burton,1995,PHI,3P,2.0
Isaiah Rider,1995,MIN,3P,1.9
Mitch Richmond,1995,SAC,3P,1.9
Sean Elliott,1995,SAS,3P,1.7
Hersey Hawkins,1995,CHH,3P,1.6
Joe Dumars,1995,DET,3P,1.5
Greg Minor,1996,BOS,PTS,9.6
Terry Porter,1996,MIN,PTS,9.4
Harvey Grant,1996,POR,PTS,9.3
Jayson Williams,1996,NJN,PTS,9.0
Ledell Eackles,1996,WSB,PTS,8.6
Lindsey Hunter,1996,DET,PTS,8.5
Craig Ehlo,1996,ATL,PTS,8.5
Lamond Murray,1996,LAC,PTS,8.4
Chris King,1996,VAN,PTS,7.9
Lucious Harris,1996,DAL,PTS,7.9
Vern Fleming,1996,NJN,PTS,7.7
Ron Harper,1996,CHI,PTS,7.4
Antoine Carr,1996,UTA,PTS,7.3
Sedale Threatt,1996,LAL,PTS,7.3
Buck Williams,1996,POR,PTS,7.3
